1,a(an),하나의
2,about,~에 관하여
3,above,~위로
4,across,~을 가로질러
5,act,"행동, 행동하다"
6,add,더하다
7,address,주소
8,adult,어른
9,afraid,두려워하여
10,after,~후에
11,afternoon,오후
12,again,다시
13,against,~에 반대하여
14,age,나이
15,ago,~전에
16,agree,동의하다
17,ahead,~앞에
18,air,공기
19,airplane,비행기
20,album,사진첩
21,all,"모두, 전부"
22,almost,"거의, 대부분"
23,alone,혼자
24,along,~을 따라서
25,already,"이미, 벌써"
26,alright,"괜찮은, 만족스러운"
27,also,"또한, 역시"
28,always,항상
29,and,그리고
30,animal,동물
31,another,또 하나의
32,answer,대답
33,any,어떤
34,apartment,아파트
35,apple,사과
36,area,지역
37,arm,팔
38,around,~주위에
39,arrive,도착하다
40,art,미술
41,as,~로서
42,ask,묻다
43,at,"~때에(시간), ~에서(장소)"
44,aunt,"이모, 고모"
45,autumn,가을
46,away,"떨어져, 멀리"
47,baby,아기
48,back,"뒤, 등"
49,bad,나쁜
50,badminton,배드민턴
51,bag,가방
52,bake,굽다
53,ball,공
54,banana,바나나
55,bank,은행
56,base,기초
57,baseball,야구
58,basket,바구니
59,basketball,농구
60,bat,(야구) 방망이
61,bath,목욕
62,be,~이다
63,beach,해변
64,bear,곰
65,beauty,아름다움
66,because,~때문에
67,become,~이 되다
68,bed,침대
69,bee,벌
70,beef,소고기
71,before,"~전에, ~앞에"
72,begin,시작하다
73,behind,~뒤에
74,believe,믿다
75,bell,"종, 방울"
76,below,~아래에
77,belt,"허리띠, 벨트"
78,beside,~곁에
79,between,~사이에
80,big,큰
81,bike,자전거
82,bill,지폐
83,bird,새
84,birth,탄생
85,biscuit,비스킷
86,black,"검정색, 검은"
87,blood,"피, 혈액"
88,blue,"파란색, 푸른"
89,board,판자
90,boat,배
91,body,"몸, 신체"
92,bone,뼈
93,book,책
94,borrow,빌리다
95,both,둘 다
96,bottle,병
97,bottom,맨 아래
98,box,상자
99,boy,소년
100,brave,용감한
101,bread,빵
102,break,"깨뜨리다, 부수다"
103,breakfast,아침 식사
104,bridge,다리
105,bright,밝은
106,bring,가져오다
107,brother,형제
108,brown,"갈색, 갈색의"
109,brush,솔
110,build,"건설하다, 세우다"
111,burn,"불타다, 태우다"
112,bus,버스
113,business,"사업, 업무"
114,busy,바쁜
115,but,그러나
116,butter,버터
117,button,단추
118,buy,사다
119,by,~옆에
120,cake,케이크
121,call,"부르다, 전화하다"
122,camera,사진기
123,camp,야영
124,campaign,캠페인
125,can,~할 수 있다
126,candy,"사탕, 캔디"
127,cap,모자
128,car,자동차
129,card,카드
130,care,"주의, 돌보다"
131,carrot,당근
132,carry,나르다
133,case,경우
134,cash,"돈, 현금"
135,cat,고양이
136,catch,붙잡다
137,center,중앙
138,certain,"확실한, 틀림없는"
139,chair,의자
140,chance,기회
141,change,바꾸다
142,cheap,값싼
143,check,수표
144,cheese,치즈
145,chicken,닭
146,child,어린이
147,chocolate,초콜릿
148,choose,선택하다
149,church,교회
150,circle,원
151,city,도시
152,class,"학급, 반"
153,clean,깨끗한
154,clear,분명한
155,clever,영리한
156,climb,오르다
157,clock,시계
158,close,닫다
159,clothes,옷
160,cloud,구름
161,club,"클럽, 모임"
162,coat,코트
163,coffee,커피
164,cold,추운
165,collect,"수집하다, 모으다"
166,college,대학
167,color,색깔
168,come,오다
169,comic,"재미있는, 만화책"
170,company,회사
171,compute,계산하다
172,condition,상태
173,congratulate,축하하다
174,control,"통제하다, 조절하다"
175,cook,요리하다
176,cookie,쿠키
177,cool,시원한
178,corner,모퉁이
179,cost,값
180,could,can의 과거형
181,country,"나라, 국가, 시골"
182,couple,"두어 개, 한 쌍"
183,course,과정
184,court,"코트, 경기장"
185,cousin,사촌
186,cover,덮다
187,cow,암소
188,crayon,크레용
189,cream,크림
190,cross,가로지르다
191,cry,"울다, 외치다"
192,culture,문화
193,cup,컵
194,curtain,커튼
195,customer,고객
196,cut,자르다
197,dance,춤추다
198,danger,위험
199,dark,어두운
200,date,날짜
201,daughter,딸
202,day,"낮, 하루"
203,dead,죽은
204,death,죽음
205,decide,결정하다
206,deep,깊은
207,delicious,맛있는
208,design,"디자인하다, 디자인"
209,desk,책상
210,dialogue,대화
211,die,죽다
212,difficult,어려운
213,dinner,저녁
214,discuss,토론하다
215,do,하다
216,doctor,의사
217,dog,개
218,doll,인형
219,door,문
220,double,두 배의
221,doughnut,도넛
222,down,아래로
223,draw,그리다
224,dream,꿈
225,dress,"드레스, 옷을 입다"
226,drink,마시다
227,drive,운전하다
228,drop,"떨어지다, 방울"
229,drum,북
230,dry,마른
231,duck,오리
232,during,~동안
233,ear,귀
234,early,일찍
235,earth,"지구, 땅"
236,east,동쪽
237,eat,먹다
238,egg,계란
239,eight,여덟(8)
240,elephant,코끼리
241,eleven,열하나(11)
242,end,"끝, 마지막"
243,energy,에너지
244,enough,충분한
245,enter,"들어가다, 들어오다"
246,evening,저녁
247,every,"모든, 매-"
248,example,"예, 보기"
249,exercise,"연습, 운동"
250,eye,눈
251,face,얼굴
252,fact,사실
253,fail,실패하다
254,fall,"가을, 떨어지다"
255,family,가족
256,fan,"부채, 선풍기"
257,far,멀리 떨어진
258,farm,농장
259,fast,빠른
260,fat,"살찐, 뚱뚱한"
261,father,아버지
262,favorite,가장 좋아하는
263,feel,느끼다
264,festival,축제
265,field,"들판, 경기장"
266,fight,"싸움, 싸우다"
267,file,파일
268,fill,채우다
269,film,"필름, 영화"
270,find,찾다
271,fine,"좋은, 맑은"
272,finger,손가락
273,finish,끝내다
274,fire,불
275,first,첫 번째의
276,fish,물고기
277,five,다섯(5)
278,fix,"고치다, 고정시키다"
279,floor,바닥
280,flower,꽃
281,fly,날다
282,focus,집중하다
283,food,음식
284,fool,바보
285,foot,발
286,football,축구
287,for,"~를 위하여, ~동안"
288,forest,숲
289,forget,잊다
290,fork,포크
291,form,"종류, 유형"
292,four,넷(4)
293,fox,여우
294,free,"자유로운, 무료의"
295,fresh,신선한
296,friend,친구
297,from,~로부터
298,front,"앞, 정면"
