번호,영단어,뜻
1,person,사람
2,life,"삶, 생명"
3,job,"일, 직업"
4,country,"국가, 시골"
5,earth,"지구, 흙"
6,problem,문제
7,way,"길, 방법"
8,language,언어
9,story,"이야기, 층"
10,lot,"운, 운세"
11,name,이름
12,hand,"손, 건네다"
13,place,장소
14,practice,"연습, 실천"
15,work,"일, 작품"
16,use,사용하다
17,kind,"친절한, 종류"
18,fun,재미
19,future,미래
20,have,가지다
21,make,만들다
22,let,~하게 해주다
23,get,"얻다, 취하다"
24,take,가져가다
25,different,"다른, 다양한"
26,important,중요한
27,right,"옳은, 권리"
28,sure,확실한
29,well,"잘, 우물"
30,hard,"딱딱한, 열심히"
31,bird,새
32,restaurant,식당
33,trip,"여행, 출장"
34,vacation,"휴가, 방학"
35,space,"공간, 우주"
36,street,거리
37,side,"측, 입장"
38,paper,종이
39,newspaper,신문
40,face,"얼굴, 마주하다"
41,mind,"마음, 꺼리다"
42,change,변화하다
43,visit,방문하다
44,start,시작하다
45,watch,주시하다
46,light,"빛, 가벼운"
47,present,"현재, 선물"
48,middle,중간의
49,favorite,좋아하는
50,enjoy,즐기다
51,win,"이기다, 획득하다"
52,understand,이해하다
53,warm,따뜻한
54,clean,청소하다
55,own,"자신의, 소유하다"
56,interesting,흥미로운
57,famous,유명한
58,special,특별한
59,fast,빠른
60,only,"오직, 유일한"
61,village,마을
62,forest,숲
63,leaf,나뭇잎
64,vegetable,채소
65,office,사무실
66,machine,기계
67,area,"지역, 영역"
68,piece,조각
69,grace,"은혜, 은총"
70,spring,"봄, 샘물, 튀다"
71,rock,"바위, 흔들다"
72,line,선
73,exercise,운동하다
74,end,"끝, 목적"
75,cook,요리하다
76,fall,"떨어지다, 가을"
77,front,"앞, 전면"
78,second,"두 번째, 초"
79,cold,"추운, 감기"
80,happen,일어나다
81,leave,"떠나다, 방치하다"
82,remember,기억하다
83,wear,"입다, 닳다"
84,move,움직이다
85,send,보내다
86,large,"큰, 거대한"
87,hot,"뜨거운, 매운"
88,early,일찍
89,often,"종종, 자주"
90,sometimes,때때로
91,health,건강
92,holiday,휴일
93,gift,"선물, 재능"
94,field,"분야, 들판"
95,site,"위치, 유적"
96,goal,목표
97,effect,효과
98,sign,"신호, 징조"
99,report,보고하다
100,order,"주문, 명령, 질서"
101,experience,경험하다
102,result,결과
103,ride,"타다, 주행하다"
104,wish,소망하다
105,human,인간
106,past,"과거, 지난"
107,carry,"휴대하다, 옮기다"
108,draw,"그리다, 당기다"
109,spend,"쓰다, 보내다"
110,wait,기다리다
111,decide,결정하다
112,choose,고르다
113,TRUE,진실한
114,popular,인기 있는
115,difficult,어려운
116,foreign,외국의
117,able,능력 있는
118,full,가득 찬
119,usually,대게
120,never,결코 ~아닌
121,president,대통령
122,diary,일기
123,cartoon,만화
124,meal,식사
125,character,"문자, 성격"
126,reason,이유
127,ground,"지면, 기반"
128,community,공동체
129,glass,유리
130,weight,무게
131,control,통제하다
132,step,단계
133,matter,"문제, 중요하다"
134,match,"어울리다, 필적하다"
135,set,"설치하다, 정하다"
136,catch,잡다
137,hold,"유지하다, 껴안다"
138,pick,"줍다, 고르다"
139,teach,가르치다
140,agree,동의하다
141,invent,발명하다
142,welcome,환영하다
143,bright,밝은
144,smart,영리한
